Grant Years,State Programs,Batch Year,County Number,County Name,Total Students Awarded,Total Dollars Awarded,State Name,GNIS Number,GEO Coordinates,Grant Year End Date
2019-20,Iowa Tuition Grant For-Profit,20,21,Clay,0,0,Iowa,465625,POINT (-95.1509194 43.0825804),2020
2019-20,Futue Ready Grant,20,72,Osceola,0,0,Iowa,465260,POINT (-95.6236852 43.3785704),2020
2019-20,Iowa Tuition Grant For-Profit,20,84,Sioux,0,0,Iowa,465272,POINT (-96.1778827 43.0826174),2020
2019-20,Futue Ready Grant,20,5,Audubon,0,0,Iowa,465194,POINT (-94.9058222 41.6845893),2020
2019-20,Iowa Tuition Grant For-Profit,20,4,Appanoose,0,0,Iowa,465193,POINT (-92.8686104 40.7431635),2020
2019-20,Vocational Technical Tuition Grant,20,52,Johnson,97,60694,Iowa,465240,POINT (-91.5880849 41.6715511),2020
2019-20,Last Dollar Scholarship,20,70,Muscatine,107,175175,Iowa,465258,POINT (-91.1127562 41.4839221),2020
2019-20,All Iowa Opportunity Scholarship,20,11,Buena Vista,1,4644,Iowa,465200,POINT (-95.15114900000002 42.7354936),2020
2019-20,GEAR UP Iowa Scholarship,20,89,Van Buren,0,0,Iowa,465277,POINT (-91.9499871 40.7532294),2020
2019-20,GEAR UP Iowa Scholarship,20,88,Union,0,0,Iowa,465276,POINT (-94.2423792 41.0277304),2020
2019-20,All Iowa Opportunity Scholarship,20,57,Linn,7,20080,Iowa,465245,POINT (-91.5989646 42.0789478),2020
2019-20,Iowa Tuition Grant,20,39,Guthrie,28,134703,Iowa,465227,POINT (-94.501055 41.6837548),2020
2019-20,Iowa Tuition Grant,20,56,Lee,67,307543,Iowa,465244,POINT (-91.479264 40.6419764),2020
2019-20,Educational Training Voucher,20,44,Henry,0,0,Iowa,465232,POINT (-91.5445241 40.9879383),2020
2019-20,Iowa Tuition Grant,20,6,Benton,88,467527,Iowa,465195,POINT (-92.0656912 42.0801864),2020
2019-20,Last Dollar Scholarship,20,6,Benton,43,111406,Iowa,465195,POINT (-92.0656912 42.0801864),2020
2019-20,Kibbie Grant,20,23,Clinton,65,62174,Iowa,465211,POINT (-90.5319724 41.8980358),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,77,Polk,0,0,Iowa,465265,POINT (-93.5735335 41.6855048),2020
2019-20,Last Dollar Scholarship,20,23,Clinton,83,135555,Iowa,465211,POINT (-90.5319724 41.8980358),2020
2019-20,Kibbie Grant,20,6,Benton,25,35513,Iowa,465195,POINT (-92.0656912 42.0801864),2020
2019-20,Kibbie Grant,20,55,Kossuth,32,41409,Iowa,465243,POINT (-94.2067199 43.20413),2020
2019-20,National Guard Educational Assistance,20,23,Clinton,9,38140,Iowa,465211,POINT (-90.5319724 41.8980358),2020
2019-20,National Guard Educational Assistance,20,55,Kossuth,2,11780,Iowa,465243,POINT (-94.2067199 43.20413),2020
2019-20,Vocational Technical Tuition Grant,20,74,Palo Alto,8,4976,Iowa,465262,POINT (-94.6781371 43.0820643),2020
2019-20,GEAR UP Iowa Scholarship,20,44,Henry,0,0,Iowa,465232,POINT (-91.5445241 40.9879383),2020
2019-20,Iowa Tuition Grant,20,44,Henry,80,440388,Iowa,465232,POINT (-91.5445241 40.9879383),2020
2019-20,Educational Training Voucher,20,55,Kossuth,0,0,Iowa,465243,POINT (-94.2067199 43.20413),2020
2019-20,National Guard Educational Assistance,20,40,Hamilton,5,22039,Iowa,465228,POINT (-93.7068085 42.3837722),2020
2019-20,Iowa Tuition Grant For-Profit,20,77,Polk,18,18025,Iowa,465265,POINT (-93.5735335 41.6855048),2020
2019-20,Last Dollar Scholarship,20,38,Grundy,28,93733,Iowa,465226,POINT (-92.7914177 42.4018651),2020
2019-20,Educational Training Voucher,20,76,Pocahontas,0,0,Iowa,465264,POINT (-94.67874660000001 42.73413510000001),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,9,Bremer,0,0,Iowa,465198,POINT (-92.31805480000001 42.7745873),2020
2019-20,National Guard Educational Assistance,20,8,Boone,8,40099,Iowa,465197,POINT (-93.931671 42.0365493),2020
2019-20,Educational Training Voucher,20,87,Taylor,0,0,Iowa,465275,POINT (-94.6964148 40.73743240000001),2020
2019-20,Vocational Technical Tuition Grant,20,12,Butler,14,9700,Iowa,465201,POINT (-92.7901934 42.7315661),2020
